time,hour,soc_kwh,soc_min_kwh,soc_max_kwh
11:50,11.833333333333332,10196.447775518516,1200.0,10800.0
12:00,12.0,10789.451370518516,1200.0,10800.0
12:10,12.166666666666666,10800.0,1200.0,10800.0
12:20,12.333333333333332,10800.0,1200.0,10800.0
12:30,12.5,10800.0,1200.0,10800.0
12:40,12.666666666666666,10800.0,1200.0,10800.0
12:50,12.833333333333332,10800.0,1200.0,10800.0
13:00,13.0,10800.0,1200.0,10800.0
13:10,13.166666666666666,10800.0,1200.0,10800.0
13:20,13.333333333333332,10800.0,1200.0,10800.0
13:30,13.5,10800.0,1200.0,10800.0
13:40,13.666666666666666,10800.0,1200.0,10800.0
13:50,13.833333333333332,10800.0,1200.0,10800.0
14:00,14.0,10800.0,1200.0,10800.0
14:10,14.166666666666666,10800.0,1200.0,10800.0
14:20,14.333333333333332,10800.0,1200.0,10800.0
14:30,14.5,10800.0,1200.0,10800.0
14:40,14.666666666666666,10800.0,1200.0,10800.0
14:50,14.833333333333332,10800.0,1200.0,10800.0
15:00,15.0,10800.0,1200.0,10800.0
15:10,15.166666666666666,10800.0,1200.0,10800.0
15:20,15.333333333333332,10800.0,1200.0,10800.0
15:30,15.5,10800.0,1200.0,10800.0
15:40,15.666666666666666,10800.0,1200.0,10800.0
15:50,15.833333333333332,10800.0,1200.0,10800.0
16:00,16.0,10800.0,1200.0,10800.0
16:10,16.166666666666664,10800.0,1200.0,10800.0
16:20,16.333333333333332,10800.0,1200.0,10800.0
16:30,16.5,10800.0,1200.0,10800.0
16:40,16.666666666666664,10800.0,1200.0,10800.0
16:50,16.833333333333332,10800.0,1200.0,10800.0
17:00,17.0,10800.0,1200.0,10800.0
17:10,17.166666666666664,10800.0,1200.0,10800.0
17:20,17.333333333333332,10800.0,1200.0,10800.0
17:30,17.5,10800.0,1200.0,10800.0
17:40,17.666666666666664,10800.0,1200.0,10800.0
17:50,17.833333333333332,10800.0,1200.0,10800.0
18:00,18.0,10800.0,1200.0,10800.0
18:10,18.166666666666664,10800.0,1200.0,10800.0
18:20,18.333333333333332,10352.934407407407,1200.0,10800.0
18:30,18.5,10411.025402407407,1200.0,10800.0
