date,N0,LA,M0L
2025-09-08,56181.69210922731,44952.99029048248,45474.64372831579
2025-09-09,57078.578069875904,40462.70401451208,42997.45080401093
2025-09-10,60737.85661595889,48037.33771158148,69581.1092769253
2025-09-11,42459.13585880871,40510.97282758806,40892.4705058288
2025-09-12,14672.961225139394,14639.87893941775,14236.251537430726
2025-09-13,14876.894185721758,15238.520976038099,15284.025178370874
2025-09-14,46076.950178121624,43939.35187495375,45475.46507679431
2025-09-15,44581.78790437259,43951.95088689335,44341.07120872348
2025-09-16,49266.61494355166,44677.372778914,46554.719064351244
2025-09-17,48289.01139621855,43808.9273791015,51679.05956634638
2025-09-18,60272.06294606661,43405.30945930313,45127.122230561006
2025-09-19,15323.0574921078,15356.033473490801,15467.563665339801
2025-09-20,16631.96185593872,15371.55624114647,15574.198189489507
2025-09-21,43178.18834578039,41714.48210489401,42374.877770708394
2025-09-22,48232.097541763505,45683.3981420512,46240.79676225448
2025-09-23,48788.709661280365,47671.17891948142,49072.349636168714
2025-09-24,71278.45614137658,46756.08047198396,46280.105420183914
2025-09-25,43010.092302799945,44182.69336576288,44889.20882668455
2025-09-26,15293.5045962461,14616.85835043845,15089.8977754911
2025-09-27,20615.100734830456,17489.545366298553,18029.44967326088
2025-09-28,58626.57797192867,47163.54103460636,49862.70334088606
2025-09-29,47405.56774844541,49201.43834968694,46936.78859588942
2025-09-30,64722.31494676659,49128.382028117136,50119.96291542286
2025-10-01,38667.687489755655,39492.63471818866,38940.24988507066
2025-10-02,39710.85484629119,37145.11166876365,37097.16779770465
2025-10-03,12913.0384427056,12789.641979150998,12805.741177668599
2025-10-04,12720.840543696804,14016.996122406985,13916.614084499555
2025-10-05,40792.912443503206,39432.55084435391,38830.9477492922
2025-10-06,59941.96806751634,43512.71222186194,49005.89812602137
2025-10-07,55623.69795811992,41708.89522160088,55098.722118011734
2025-10-08,63589.107032130436,45620.7566473286,63938.21917434044
2025-10-09,46224.292694587755,43188.53233838738,44466.09294170239
2025-10-10,13292.926932272805,12989.41027415254,12797.528434040842
2025-10-11,13912.648700065587,15158.225338373195,15261.176017216587
2025-10-12,49236.52927039233,43413.26014514664,48530.85820890946
2025-10-13,47554.04955789326,42817.67509839494,51118.75671796309
2025-10-14,51008.48062193937,44645.978235729446,62747.08306083632
2025-10-15,46840.20351361523,44379.31357806771,65621.291651822
2025-10-16,49685.66274937474,42864.8752701977,43350.40744010972
2025-10-17,15275.130229568947,13231.084544279809,13241.42299506407
2025-10-18,14066.4348628956,14581.362756499104,14978.881168031894
2025-10-19,48850.842022427656,46141.468724550185,47939.60882005564
2025-10-20,47315.65796255183,46738.324826631666,47318.48000287172
2025-10-21,53442.82767828776,49363.055710526656,48921.13293477421
2025-10-22,62666.213165268375,48330.804991561185,62647.79915367738
2025-10-23,53074.2442319033,46590.485373268224,47014.0752982692
2025-10-24,15297.905006341354,14660.288679459982,14779.44784206635
2025-10-25,14898.682977661669,15096.286726640172,15840.08529400642
2025-10-26,48875.43788823645,47569.64561152916,59857.533716507976
2025-10-27,52961.57453486984,46668.0583360157,48233.846232156626
2025-10-28,69101.94434467544,47614.3970775225,47908.97618125971
2025-10-29,56565.92104692624,50785.92296364714,57168.394302489825
2025-10-30,64600.158893017615,45781.71281597502,62984.84340210921
2025-10-31,14605.86728621384,14083.841177567167,14340.815965519838
2025-11-01,13698.598558591233,15288.66978015055,14834.786933462661
2025-11-02,57847.44316076355,51441.795843617125,53772.093490402076
2025-11-03,50777.70421218444,50409.9664772068,50729.3818994125
2025-11-04,57662.011140735805,49798.78257897893,57647.63844177332
2025-11-05,54395.77796932921,54921.91018481868,69527.0521614865
2025-11-06,60664.0738455497,51465.45642914313,58848.728618540306
2025-11-07,15299.85455390284,14400.816823662248,14367.366947172277
2025-11-08,14218.402724733802,15586.321925949449,15177.520281371799
2025-11-09,53839.60217931073,51041.54377861472,53112.98974569323
2025-11-10,60451.043377634254,56365.99273558964,58089.50063529892
2025-11-11,53149.0779815558,53442.75403423274,52828.998907821304
2025-11-12,60683.712031915806,54242.85962027769,57526.17721556124
2025-11-13,69230.07139321807,53142.11406876524,55415.248384698614
2025-11-14,14670.802389103621,14959.907494490231,14938.637472667622
2025-11-15,15119.315735110664,16242.20029057185,16106.543410810664
2025-11-16,67532.07963306303,55339.857943024144,56925.10094698135
2025-11-17,70656.98001918726,56047.18323391079,56040.06188381399
2025-11-18,70007.4974900285,58154.36368361447,74693.96277491516
2025-11-19,72823.52649771374,60311.2137083799,62099.22380825805
2025-11-20,70567.7087125735,54909.81948515636,68686.45930651933
2025-11-21,16261.760788355205,16247.384651735048,16590.234346127647
2025-11-22,16384.054069950478,17042.416479669904,17561.27821103981
2025-11-23,69440.15218889112,57019.28905584392,58723.48971806126
2025-11-24,68620.38675946793,55545.825477802675,68202.69121484626
2025-11-25,59798.51807819148,57922.054555606745,59606.46861530937
2025-11-26,60909.36836023907,59174.14821910889,59362.073426936186
2025-11-27,63309.5763249016,57258.145217939775,62093.37427878761
2025-11-28,16271.778799303098,15215.81442641375,16054.019802050096
2025-11-29,18252.722641014996,18508.15778554745,19183.1542801124
2025-11-30,73625.87478661891,62102.884792278084,62795.691887204004
2025-12-01,95821.72401300007,79599.98976483342,95063.90264205198
2025-12-02,78304.44968292708,77103.13609803739,78537.18954482242
2025-12-03,107184.56640653501,74516.87685080516,74381.14873167366
2025-12-04,80562.9936340449,71059.48833665915,71374.69609244587
