purchase_error_kwh,locked_loss_divided_by_pi_kwh,open_loss_divided_by_pi_kwh
-0.17999999999999994,0.7199999999999998,0.08999999999999997
-0.16999999999999993,0.6799999999999997,0.08499999999999996
-0.15999999999999992,0.6399999999999997,0.07999999999999996
-0.1499999999999999,0.5999999999999996,0.07499999999999996
-0.1399999999999999,0.5599999999999996,0.06999999999999995
-0.1299999999999999,0.5199999999999996,0.06499999999999995
-0.11999999999999988,0.47999999999999954,0.05999999999999994
-0.10999999999999988,0.4399999999999995,0.05499999999999994
-0.09999999999999987,0.39999999999999947,0.04999999999999993
-0.08999999999999986,0.35999999999999943,0.04499999999999993
-0.07999999999999985,0.3199999999999994,0.039999999999999925
-0.06999999999999984,0.27999999999999936,0.03499999999999992
-0.05999999999999983,0.23999999999999932,0.029999999999999916
-0.04999999999999982,0.1999999999999993,0.02499999999999991
-0.040000000000000036,0.16000000000000014,0.020000000000000018
-0.030000000000000027,0.1200000000000001,0.015000000000000013
-0.020000000000000018,0.08000000000000007,0.010000000000000009
-0.010000000000000009,0.040000000000000036,0.0050000000000000044
0.0,0.0,0.0
0.010000000000000009,0.010000000000000009,0.0050000000000000044
0.020000000000000018,0.020000000000000018,0.010000000000000009
0.030000000000000027,0.030000000000000027,0.015000000000000013
0.040000000000000036,0.040000000000000036,0.020000000000000018
0.050000000000000044,0.050000000000000044,0.025000000000000022
0.06000000000000005,0.06000000000000005,0.030000000000000027
0.07000000000000006,0.07000000000000006,0.03500000000000003
0.08000000000000007,0.08000000000000007,0.040000000000000036
0.09000000000000008,0.09000000000000008,0.04500000000000004
0.10000000000000009,0.10000000000000009,0.050000000000000044
0.1100000000000001,0.1100000000000001,0.05500000000000005
0.1200000000000001,0.1200000000000001,0.06000000000000005
0.13000000000000012,0.13000000000000012,0.06500000000000006
0.14000000000000012,0.14000000000000012,0.07000000000000006
0.15000000000000013,0.15000000000000013,0.07500000000000007
0.16000000000000014,0.16000000000000014,0.08000000000000007
0.17000000000000015,0.17000000000000015,0.08500000000000008
0.18000000000000016,0.18000000000000016,0.09000000000000008
0.19000000000000017,0.19000000000000017,0.09500000000000008
0.20000000000000018,0.20000000000000018,0.10000000000000009
0.20999999999999996,0.20999999999999996,0.10499999999999998
0.21999999999999997,0.21999999999999997,0.10999999999999999
0.22999999999999998,0.22999999999999998,0.11499999999999999
0.24,0.24,0.12
0.25,0.25,0.125
0.26,0.26,0.13
0.27,0.27,0.135
0.28,0.28,0.14
0.29000000000000004,0.29000000000000004,0.14500000000000002
0.30000000000000004,0.30000000000000004,0.15000000000000002
0.31000000000000005,0.31000000000000005,0.15500000000000003
0.32000000000000006,0.32000000000000006,0.16000000000000003
0.33000000000000007,0.33000000000000007,0.16500000000000004
0.3400000000000001,0.3400000000000001,0.17000000000000004
0.3500000000000001,0.3500000000000001,0.17500000000000004
0.3600000000000001,0.3600000000000001,0.18000000000000005
0.3700000000000001,0.3700000000000001,0.18500000000000005
0.3800000000000001,0.3800000000000001,0.19000000000000006
0.3900000000000001,0.3900000000000001,0.19500000000000006
0.40000000000000013,0.40000000000000013,0.20000000000000007
0.41000000000000014,0.41000000000000014,0.20500000000000007
0.42000000000000015,0.42000000000000015,0.21000000000000008
0.43000000000000016,0.43000000000000016,0.21500000000000008
0.44000000000000017,0.44000000000000017,0.22000000000000008
0.4500000000000002,0.4500000000000002,0.2250000000000001
0.4600000000000002,0.4600000000000002,0.2300000000000001
0.47,0.47,0.235
0.48,0.48,0.24
0.49,0.49,0.245
0.5,0.5,0.25
0.51,0.51,0.255
0.52,0.52,0.26
0.53,0.53,0.265
0.54,0.54,0.27
0.55,0.55,0.275
0.56,0.56,0.28
0.5700000000000001,0.5700000000000001,0.28500000000000003
0.5800000000000001,0.5800000000000001,0.29000000000000004
0.5900000000000001,0.5900000000000001,0.29500000000000004
0.6000000000000001,0.6000000000000001,0.30000000000000004
0.6100000000000001,0.6100000000000001,0.30500000000000005
0.6200000000000001,0.6200000000000001,0.31000000000000005
0.6300000000000001,0.6300000000000001,0.31500000000000006
0.6400000000000001,0.6400000000000001,0.32000000000000006
